INV_ID,INV_NO,ANC_NUM,INV_CATL_NO,CATL_MODELE,MARQ,DATE_INSPECTION,CE_NO,ELEMENT,CATEGORIE,COULEUR,MATERIAU,CONDITION,INTERVENTION,EMPL_X,EMPL_Y,EMPL_Z,TERRITOIRE,STATUT,BASE,ANCRAGE,PARC,AIRE,EMPL_ID,ORDRE_AFFICHAGE,LONG,LAT
1685932,INV-1685932,SMU-263156,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,296455.649,5045348.159,0,26;,Actif,NON,,,,1703705,2,-73.606864,45.547997
1685933,INV-1685933,SMU-263158,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,297717.816,5044491.537,0,25;,Actif,NON,,,,1703706,2,-73.590687,45.540303
1685934,INV-1685934,SMU-263161,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,300388.043,5045839.159,0,25;,Actif,NON,,,,1703707,2,-73.556507,45.552451
1685935,INV-1685935,SMU-263172,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,295636.23,5043446.493,0,25;,Actif,NON,,,,1703708,2,-73.617322,45.530875
1685936,INV-1685936,SMU-263186,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,297347.617,5043823.226,0,25;,Actif,NON,,,,1703709,2,-73.595418,45.534285
1685937,INV-1685937,SMU-263188,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,298041.003,5045095.813,0,25;,Actif,NON,,,,1703710,2,-73.586557,45.545743
1685938,INV-1685938,SMU-262873,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,299143.456,5045832.465,0,25;,Actif,NON,,,,1703711,2,-73.572448,45.552382
1685939,INV-1685939,SMU-262874,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,299018.324,5046196.234,0,25;,Actif,NON,,,,1703712,2,-73.574055,45.555654
1685940,INV-1685940,SMU-262879,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297533.766,5045250.026,0,25;,Actif,NON,,,,1703713,2,-73.593055,45.547126
1685941,INV-1685941,SMU-262882,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297391.521,5045663.711,0,25;,Actif,NON,,,,1703714,2,-73.594883,45.550847
1685942,INV-1685942,SMU-262883,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297716.87,5045547.986,0,25;,Actif,NON,,,,1703715,2,-73.590715,45.549809
1685943,INV-1685943,SMU-262885,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297245.695,5043699.702,0,25;,Actif,NON,,,,1703716,2,-73.596721,45.533173
1685944,INV-1685944,SMU-262887,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,298027.164,5046086.585,0,25;,Actif,NON,,,,1703717,2,-73.586748,45.554659
1685945,INV-1685945,SMU-262888,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296394.783,5044083.657,0,25;,Actif,NON,,,,1703718,2,-73.607622,45.536618
1685946,INV-1685946,SMU-262891,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296446.498,5044472.697,0,25;,Actif,NON,,,,1703719,2,-73.606966,45.540119
1685947,INV-1685947,SMU-262893,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296518.038,5043683.909,0,25;,Actif,NON,,,,1703720,2,-73.606037,45.533022
1685948,INV-1685948,SMU-262895,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297795.978,5045707.342,0,25;,Actif,NON,,,,1703721,2,-73.589704,45.551244
1685949,INV-1685949,SMU-262896,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,298968.12,5045375.567,0,25;,Actif,NON,,,,1703722,2,-73.574688,45.548269
1685950,INV-1685950,SMU-262898,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297426.737,5043989.301,0,25;,Actif,NON,,,,1703723,2,-73.594407,45.53578
1685951,INV-1685951,SMU-262901,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296201.125,5043760.5,0,25;,Actif,NON,,,,1703724,2,-73.610096,45.533708
1685952,INV-1685952,SMU-262903,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296516.955,5044246.435,0,25;,Actif,NON,,,,1703725,2,-73.60606,45.538084
1685953,INV-1685953,SMU-262904,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297118.739,5044075.96,0,25;,Actif,NON,,,,1703726,2,-73.598352,45.536557
1685954,INV-1685954,SMU-262906,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297580.349,5045325.363,0,25;,Actif,NON,,,,1703727,2,-73.59246,45.547804
1685955,INV-1685955,SMU-262909,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296652.344,5044486.753,0,25;,Actif,NON,,,,1703728,2,-73.604331,45.540248
1685956,INV-1685956,SMU-262910,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297373.906,5043710.5,0,25;,Actif,NON,,,,1703729,2,-73.595079,45.533271
1685957,INV-1685957,SMU-262912,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296037.5,5043548.5,0,25;,Actif,NON,,,,1703730,2,-73.612187,45.531798
1685958,INV-1685958,SMU-262914,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,295845.092,5043693.518,0,25;,Actif,NON,,,,1703731,2,-73.614653,45.5331
1685959,INV-1685959,SMU-262921,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,298858,5045122.5,0,25;,Actif,NON,,,,1703732,2,-73.576095,45.545991
1685960,INV-1685960,SMU-262923,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,298908.809,5045272.827,0,25;,Actif,NON,,,,1703733,2,-73.575446,45.547344
1685961,INV-1685961,SMU-262924,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,298924.188,5045308.732,0,25;,Actif,NON,,,,1703734,2,-73.57525,45.547667
1685962,INV-1685962,SMU-262926,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,298805.132,5046031.27,0,25;,Actif,NON,,,,1703735,2,-73.576783,45.554168
1685963,INV-1685963,SMU-262929,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,299048.884,5045561.642,0,25;,Actif,NON,,,,1703736,2,-73.573656,45.549944
1685964,INV-1685964,SMU-262931,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,299066.601,5045607.935,0,25;,Actif,NON,,,,1703737,2,-73.573429,45.550361
1685965,INV-1685965,SMU-262932,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,299077.277,5045665.943,0,25;,Actif,NON,,,,1703738,2,-73.573293,45.550883
1685967,INV-1685967,SMU-262827,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297564.823,5044611.955,0,25;,Actif,NON,,,,1703740,2,-73.592648,45.541385
1685968,INV-1685968,SMU-262828,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297341.827,5044759.719,0,25;,Actif,NON,,,,1703741,2,-73.595506,45.542712
1685969,INV-1685969,SMU-262829,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,297223.406,5044841,0,25;,Actif,NON,,,,1703742,2,-73.597024,45.543442
1685970,INV-1685970,SMU-262830,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296950.434,5045022.013,0,25;,Actif,NON,,,,1703743,2,-73.600522,45.545068
1685971,INV-1685971,SMU-262831,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296768.23,5045142.783,0,25;,Actif,NON,,,,1703744,2,-73.602857,45.546153
1685972,INV-1685972,SMU-262833,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296183.533,5044319.563,0,25;,Actif,NON,,,,1703745,2,-73.610331,45.538738
1685973,INV-1685973,SMU-262834,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296253.671,5044424.726,0,25;,Actif,NON,,,,1703746,2,-73.609435,45.539685
1685974,INV-1685974,SMU-262835,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296380.182,5044623.623,0,25;,Actif,NON,,,,1703747,2,-73.607818,45.541476
1685975,INV-1685975,SMU-262836,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296400.096,5044655.029,0,25;,Actif,NON,,,,1703748,2,-73.607564,45.541759
1685976,INV-1685976,SMU-262838,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296553.294,5044896.896,0,25;,Actif,NON,,,,1703749,2,-73.605606,45.543937
1685977,INV-1685977,SMU-262839,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296656.624,5045062.187,0,25;,Actif,NON,,,,1703750,2,-73.604285,45.545426
1685978,INV-1685978,SMU-262840,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296753.703,5045209.217,0,25;,Actif,NON,,,,1703751,2,-73.603045,45.54675
1685979,INV-1685979,SMU-262841,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296861.932,5045377.808,0,25;,Actif,NON,,,,1703752,2,-73.601661,45.548269
1685980,INV-1685980,SMU-262842,1195,Modèle à valider,Support à bicyclettes à valider,2009-02-27,61,Support vélo SUV,Support vélo,,,,,296940.79,5045510.066,0,25;,Actif,NON,,,,1703753,2,-73.600654,45.549459
